iter	RMSE
0	76110.45549
1	74508.43749
2	73025.41845
3	71507.05941
4	70141.16596
5	68806.66885
6	67453.66571
7	66166.92778
8	64955.53739
9	63856.35175
10	62825.74033
11	61802.31711
12	60991.99105
13	60069.20546
14	59099.27965
15	58239.37898
16	57259.90857
17	56481.69249
18	55765.41715
19	55015.51206
20	54175.86992
21	53439.35338
22	52745.34737
23	52088.36167
24	51533.78861
25	50918.04893
26	50385.64203
27	49880.15955
28	49454.1221
29	49124.75409
30	48835.27731
31	48372.397
32	47965.05832
33	47487.24496
34	47047.55166
35	46751.05567
36	46224.25123
37	45905.05351
38	45466.0228
39	45158.18306
40	44883.28205
41	44531.89622
42	44220.74414
43	43943.46491
44	43606.04197
45	43273.5784
46	43042.78722
47	42652.78427
48	42390.73356
49	42119.16185
50	41807.16535
51	41456.07026
52	41136.95446
53	40956.89157
54	40676.85507
55	40317.24946
56	40170.34516
57	39978.15194
58	39780.02241
59	39510.26139
60	39356.83677
61	39108.50884
62	38873.25953
63	38650.10498
64	38436.77069
65	38175.43382
66	38158.20338
67	37924.53451
68	37688.59921
69	37397.02936
70	37296.62418
71	37126.83972
72	36918.25735
73	36736.70453
74	36494.11301
75	36298.31652
76	36100.98507
77	36083.58703
78	35822.77839
79	35598.72609
80	35460.90228
81	35283.51252
82	35166.95401
83	35031.43086
84	34872.8334
85	34637.8086
86	34445.15481
87	34266.34237
88	34102.58378
89	34018.84624
90	33831.96263
91	33675.39235
92	33520.54803
93	33363.76332
94	33269.62258
95	33260.89664
96	33078.51441
