iter	Passed	Remaining
0	66	66833
1	69	34842
2	72	23999
3	74	18633
4	75	15069
5	109	18058
6	122	17319
7	124	15454
8	140	15416
9	156	15504
10	159	14299
11	172	14237
12	174	13277
13	189	13334
14	192	12627
15	206	12709
16	208	12080
17	227	12388
18	230	11892
19	247	12133
20	252	11759
21	273	12165
22	275	11721
23	292	11890
24	308	12012
25	319	11953
26	326	11755
27	341	11841
28	357	11976
29	365	11808
30	369	11534
31	391	11847
32	392	11503
33	395	11239
34	398	10978
35	411	11012
36	414	10783
37	416	10553
38	430	10613
39	441	10601
40	444	10396
41	453	10349
42	460	10242
43	462	10047
44	475	10091
45	480	9966
46	482	9787
47	496	9848
48	498	9677
49	512	9743
50	514	9582
51	528	9640
52	531	9490
53	531	9318
54	544	9358
55	547	9225
56	557	9225
57	561	9121
58	564	8995
59	566	8871
60	568	8750
61	581	8794
62	583	8683
63	602	8804
64	604	8692
65	606	8586
66	607	8454
67	622	8536
68	625	8435
69	642	8539
70	657	8606
71	678	8744
72	681	8648
73	690	8641
74	699	8627
75	701	8534
76	717	8601
77	718	8488
78	731	8531
79	734	8441
80	749	8506
81	764	8557
82	766	8471
83	768	8383
84	782	8426
85	784	8341
86	798	8379
87	800	8297
88	813	8328
89	815	8249
90	830	8298
91	833	8224
92	838	8173
93	847	8166
94	851	8110
95	851	8020
96	861	8015
