iter	Passed	Remaining
0	50	50771
1	54	26986
2	57	19063
3	59	14902
4	62	12423
5	65	10795
6	67	9621
7	70	8716
8	74	8217
9	82	8134
10	84	7612
11	88	7262
12	93	7117
13	99	6984
14	101	6691
15	104	6448
16	107	6231
17	110	6026
18	113	5860
19	117	5742
20	119	5585
21	123	5488
22	126	5366
23	128	5245
24	133	5187
25	135	5092
26	138	4991
27	141	4904
28	143	4821
29	146	4751
30	149	4677
31	152	4601
32	157	4611
33	160	4548
34	164	4525
35	166	4470
36	169	4414
37	172	4360
38	174	4304
39	178	4274
40	180	4232
41	183	4193
42	186	4152
43	189	4107
44	192	4074
45	194	4040
46	197	4010
47	200	3977
48	203	3942
49	205	3910
50	209	3897
51	212	3867
52	214	3840
53	217	3811
54	220	3784
55	223	3773
56	227	3755
57	229	3730
58	232	3704
59	234	3678
60	237	3661
61	240	3641
62	243	3617
63	245	3596
64	248	3574
65	254	3602
66	258	3595
67	260	3576
68	263	3560
69	266	3545
70	271	3552
71	273	3530
72	276	3510
73	279	3492
74	281	3477
75	283	3441
76	286	3429
77	288	3415
78	291	3398
79	294	3381
80	298	3382
81	299	3354
82	303	3350
83	305	3334
84	308	3318
85	311	3306
86	314	3298
87	318	3302
88	321	3293
89	324	3278
90	332	3317
91	336	3325
92	339	3314
93	343	3310
94	346	3299
95	351	3307
96	356	3317
97	366	3369
98	370	3372
99	374	3367
100	378	3364
101	381	3356
102	382	3335
103	385	3325
104	389	3317
105	391	3304
106	399	3331
107	405	3345
108	410	3353
109	413	3344
110	416	3332
111	418	3319
112	421	3306
113	424	3300
114	427	3291
115	430	3279
116	433	3268
117	435	3258
118	438	3246
119	444	3257
120	449	3261
121	452	3254
122	455	3250
123	458	3239
124	461	3229
125	464	3219
126	466	3208
127	469	3201
128	472	3192
129	475	3183
130	478	3173
131	481	3163
132	483	3154
133	487	3152
134	490	3143
135	493	3133
136	496	3126
137	501	3135
138	505	3128
139	507	3117
140	510	3108
141	513	3101
142	518	3108
143	522	3105
144	530	3127
145	538	3152
146	547	3178
147	554	3192
148	570	3257
149	578	3279
150	581	3270
151	587	3275
152	601	3331
153	617	3394
154	620	3384
155	629	3406
156	635	3413
157	638	3403
158	644	3409
159	649	3408
160	655	3417
161	670	3467
162	672	3455
163	680	3471
164	687	3478
165	689	3466
166	696	3473
167	705	3495
168	709	3488
169	713	3482
170	719	3486
171	721	3474
172	724	3462
173	729	3465
174	736	3471
175	747	3500
176	751	3496
177	754	3486
178	759	3482
179	762	3473
180	766	3469
181	770	3462
182	778	3473
183	782	3471
184	786	3464
185	789	3456
186	793	3449
187	800	3456
188	804	3451
189	809	3450
190	816	3459
191	826	3476
192	832	3479
193	837	3478
194	843	3480
195	845	3469
196	849	3462
197	853	3457
198	856	3447
199	860	3443
200	865	3440
201	871	3443
202	874	3433
203	877	3422
204	883	3424
205	889	3429
206	892	3420
207	902	3437
208	908	3437
209	915	3445
210	918	3435
211	923	3432
212	927	3427
213	931	3422
214	935	3417
215	941	3417
216	947	3419
217	950	3409
218	955	3407
219	960	3404
220	963	3394
221	969	3398
222	974	3395
223	977	3385
224	980	3378
225	986	3376
226	989	3368
227	992	3358
228	995	3351
229	1001	3351
230	1003	3341
231	1013	3356
232	1018	3352
233	1022	3346
234	1032	3360
235	1036	3356
236	1041	3353
237	1044	3344
238	1047	3334
239	1052	3333
240	1055	3323
241	1060	3321
242	1063	3312
243	1065	3301
244	1069	3294
245	1071	3284
246	1074	3275
247	1077	3266
248	1079	3256
249	1082	3248
250	1085	3239
251	1088	3229
252	1090	3220
253	1093	3210
254	1095	3200
255	1098	3191
256	1109	3208
257	1117	3214
258	1122	3210
259	1125	3201
260	1127	3192
261	1130	3185
262	1133	3175
263	1135	3166
264	1138	3157
265	1140	3148
266	1143	3139
267	1147	3134
268	1150	3125
269	1152	3116
270	1155	3107
271	1157	3098
272	1160	3090
273	1163	3083
274	1166	3075
275	1169	3066
276	1171	3058
277	1174	3049
278	1176	3041
279	1179	3033
280	1182	3024
281	1184	3016
282	1187	3007
283	1190	3000
284	1192	2991
285	1195	2984
286	1198	2976
287	1200	2968
288	1203	2960
289	1206	2953
290	1209	2947
291	1212	2939
292	1214	2931
293	1217	2923
294	1220	2916
295	1222	2907
296	1226	2901
297	1228	2893
298	1230	2885
299	1234	2879
300	1236	2871
301	1239	2864
302	1242	2857
303	1244	2850
304	1247	2842
305	1249	2834
306	1252	2827
307	1254	2819
308	1257	2812
309	1260	2804
310	1262	2797
311	1265	2790
312	1267	2782
313	1270	2776
314	1273	2769
315	1276	2762
316	1282	2762
317	1285	2756
318	1289	2753
319	1292	2747
320	1295	2739
321	1297	2732
322	1300	2725
323	1303	2720
324	1306	2714
325	1309	2707
326	1311	2700
327	1314	2693
328	1317	2686
329	1319	2679
330	1323	2674
331	1325	2667
332	1328	2661
333	1331	2654
334	1334	2649
335	1337	2643
336	1340	2636
337	1342	2629
338	1345	2622
339	1347	2616
340	1351	2611
341	1355	2607
342	1357	2600
343	1360	2594
344	1363	2588
345	1366	2582
346	1368	2576
347	1372	2570
348	1374	2564
349	1377	2557
350	1379	2551
351	1384	2548
352	1387	2542
353	1390	2536
354	1395	2535
355	1399	2530
356	1401	2524
357	1403	2517
358	1406	2511
359	1409	2505
360	1413	2502
361	1416	2496
362	1419	2490
363	1422	2485
364	1425	2479
365	1429	2476
366	1432	2470
367	1434	2463
368	1437	2457
369	1439	2451
370	1442	2445
371	1445	2440
372	1448	2434
373	1450	2428
374	1453	2422
375	1456	2417
376	1459	2412
377	1462	2406
378	1464	2400
379	1467	2394
380	1470	2388
381	1472	2382
382	1477	2379
383	1479	2373
384	1482	2368
385	1485	2363
386	1488	2357
387	1491	2352
388	1493	2346
389	1496	2341
390	1499	2335
391	1501	2329
392	1504	2323
393	1507	2319
394	1512	2316
395	1515	2310
396	1519	2308
397	1527	2310
398	1543	2324
399	1550	2325
400	1561	2332
401	1564	2327
402	1574	2333
403	1581	2332
404	1591	2337
405	1595	2333
406	1597	2328
407	1611	2338
408	1614	2332
409	1618	2328
410	1625	2329
411	1631	2328
412	1636	2325
413	1645	2329
414	1648	2324
415	1658	2328
416	1665	2328
417	1668	2322
418	1676	2325
419	1682	2323
420	1684	2317
421	1694	2320
422	1699	2317
423	1701	2311
424	1711	2315
425	1716	2312
426	1722	2310
427	1731	2314
428	1741	2317
429	1749	2319
430	1752	2313
431	1755	2307
432	1763	2309
433	1769	2307
434	1774	2305
435	1785	2309
436	1788	2304
437	1799	2309
438	1804	2306
439	1808	2301
440	1820	2307
441	1830	2310
442	1839	2312
443	1845	2311
444	1851	2308
445	1855	2304
446	1859	2300
447	1863	2296
448	1868	2293
449	1871	2287
450	1878	2286
451	1885	2285
452	1889	2281
453	1893	2277
454	1903	2279
455	1909	2278
456	1913	2273
457	1923	2276
458	1927	2271
459	1931	2267
460	1935	2263
461	1939	2258
462	1944	2255
463	1948	2251
464	1954	2248
465	1958	2244
466	1970	2248
467	1974	2244
468	1987	2250
469	2001	2256
470	2004	2251
471	2012	2251
472	2022	2252
473	2026	2249
474	2038	2253
475	2042	2248
476	2055	2254
477	2065	2255
478	2070	2252
479	2074	2247
480	2085	2249
481	2088	2244
482	2098	2246
483	2103	2242
484	2121	2252
485	2126	2248
486	2131	2245
487	2147	2252
488	2159	2256
489	2175	2264
490	2185	2265
491	2195	2267
492	2209	2272
493	2217	2271
494	2229	2274
495	2233	2269
496	2241	2268
497	2246	2264
498	2250	2259
499	2253	2253
500	2256	2247
501	2260	2242
502	2263	2236
503	2266	2230
504	2269	2224
505	2272	2218
506	2278	2215
507	2281	2209
508	2283	2203
509	2287	2197
510	2291	2192
511	2294	2186
512	2297	2180
513	2300	2174
514	2313	2179
515	2319	2175
516	2332	2179
517	2348	2185
518	2351	2178
519	2364	2183
520	2379	2187
521	2382	2181
522	2396	2185
523	2399	2179
524	2413	2183
525	2426	2187
526	2432	2183
527	2445	2186
528	2448	2180
529	2454	2176
530	2457	2170
531	2459	2163
532	2463	2158
533	2468	2154
534	2471	2147
535	2473	2141
536	2476	2135
537	2478	2128
538	2481	2122
539	2484	2116
540	2487	2110
541	2489	2103
542	2492	2097
543	2495	2091
544	2498	2085
545	2500	2079
546	2503	2073
547	2510	2070
548	2514	2065
549	2527	2068
550	2533	2064
551	2537	2059
552	2542	2055
553	2547	2050
554	2552	2046
555	2555	2040
556	2559	2036
557	2565	2032
558	2570	2028
559	2573	2022
560	2577	2017
561	2580	2011
562	2585	2006
563	2588	2000
564	2591	1995
565	2597	1991
566	2602	1987
567	2606	1982
568	2611	1978
569	2614	1972
570	2618	1967
571	2622	1962
572	2628	1958
573	2631	1953
574	2634	1947
575	2639	1943
576	2643	1937
577	2645	1931
578	2648	1925
579	2650	1919
580	2653	1913
581	2657	1908
582	2660	1903
583	2663	1897
584	2666	1891
585	2673	1888
586	2678	1884
587	2684	1880
588	2691	1878
589	2697	1874
590	2702	1870
591	2709	1867
592	2713	1862
593	2717	1857
594	2723	1853
595	2726	1847
596	2730	1843
597	2733	1837
598	2736	1831
599	2739	1826
600	2742	1820
601	2745	1814
602	2748	1809
603	2752	1804
604	2755	1798
605	2758	1793
606	2761	1787
607	2764	1782
608	2767	1777
609	2770	1771
610	2773	1765
611	2776	1759
612	2778	1754
613	2781	1748
614	2784	1742
615	2788	1738
616	2792	1733
617	2795	1727
618	2799	1723
619	2804	1719
620	2807	1713
621	2809	1707
622	2813	1702
623	2815	1696
624	2818	1691
625	2821	1685
626	2823	1679
627	2826	1674
628	2829	1668
629	2833	1664
630	2837	1659
631	2840	1653
632	2843	1648
633	2846	1643
634	2849	1637
635	2852	1632
636	2854	1626
637	2857	1621
638	2860	1615
639	2862	1610
640	2865	1604
