Outlet,Predicted February 2025 Sales
Alim Knit (BD) Ltd.,1196052.4109092297
Aus-Bangla Jutex,1007245.5237396805
Concorde Garments Ltd.,1045227.3035984186
Continental Garments Ind. (Pvt.) Ltd.,1275218.7777492204
Dekko Designs Limited,1374601.643635356
EcoFab Limited,1118772.76379714
Evitex Dress Shirt Limited,1730262.6073855427
GoodEarth Apparels Ltd.,1148223.7586168004
Interfab Shirt Manufacturing Limited Unit-01,1133109.8559720432
Interfab Shirt Manufacturing Limited Unit-02 (Viyellatex Group).,1094579.6256584784
Interstoff Apparels Ltd.,1880052.743946232
KDS IDR Limited,1004486.0446831579
Lida Textile & Dyeing Limited,4844116.810119668
Liz Fashion Industry Ltd.,5146822.173998055
MG Niche Stitch Limited,1296040.5040195647
Majumder Garments Limited,1389803.617919076
Mehmud Industries Limited,1067986.6925798361
Millenneium Textiles (Southern) Ltd.,1047436.8421555687
Picard Bangladesh Limited,1004207.830695961
Renaissance Apparels Ltd.,1272152.196710231
Saturn Textiles Ltd.,1101622.4652393137
Silken Sewing Ltd.,2124357.476206642
Silver Line Composite Mills Ltd.,1575146.9836940654
Southern Garments Ltd.,1061280.9201489766
The Rose Dresses Limited,1250613.3246966207
Ultimate Fashions Limited,1051796.3268834287
