Outlet,Predicted February 2025 Sales
Alim Knit (BD) Ltd.,1.1210544e+06
Aus-Bangla Jutex,1.0751235e+06
Concorde Garments Ltd.,1.1299014e+06
Continental Garments Ind. (Pvt.) Ltd.,1.1509562e+06
Dekko Designs Limited,1.1280858e+06
EcoFab Limited,1.0528196e+06
Evitex Dress Shirt Limited,2.819177e+06
GoodEarth Apparels Ltd.,953045.06
Interfab Shirt Manufacturing Limited Unit-01,1.1284061e+06
Interfab Shirt Manufacturing Limited Unit-02 (Viyellatex Group).,960870.1
Interstoff Apparels Ltd.,1.4767825e+06
KDS IDR Limited,1.0563371e+06
Lida Textile & Dyeing Limited,5.231459e+06
Liz Fashion Industry Ltd.,5.9079605e+06
MG Niche Stitch Limited,1.1212951e+06
Majumder Garments Limited,1.1269292e+06
Mehmud Industries Limited,416170.22
Millenneium Textiles (Southern) Ltd.,929939.8
Picard Bangladesh Limited,423777.8
Renaissance Apparels Ltd.,1.2114625e+06
Saturn Textiles Ltd.,717105.4
Silken Sewing Ltd.,4.783277e+06
Silver Line Composite Mills Ltd.,1.9516698e+06
Southern Garments Ltd.,961303.94
The Rose Dresses Limited,1.173543e+06
Ultimate Fashions Limited,752859.56
